,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Sibolga,ID,2020-02-23 21:25:27,1.74,98.78,70.74,89,0,4.03,clear sky,0.0,0.0
1,Punta Arenas,CL,2020-02-23 21:24:05,-53.15,-70.92,55.4,62,75,31.09,broken clouds,0.0,0.0
2,Cidreira,BR,2020-02-23 21:25:27,-30.18,-50.21,71.91,73,1,17.29,clear sky,0.0,0.0
3,Port Hardy,CA,2020-02-23 21:25:27,50.7,-127.42,41.0,93,90,2.24,light rain,0.0,0.0
4,Port Alfred,ZA,2020-02-23 21:25:28,-33.59,26.89,60.01,83,50,2.01,scattered clouds,0.0,0.0
5,Yellowknife,CA,2020-02-23 21:29:25,62.46,-114.35,-2.99,63,20,6.93,few clouds,0.0,0.0
6,Utica,US,2020-02-23 21:30:11,43.1,-75.23,48.0,33,1,9.17,clear sky,0.0,0.0
7,Sabzevar,IR,2020-02-23 21:33:43,36.21,57.68,50.31,50,0,3.31,clear sky,0.0,0.0
8,Avarua,CK,2020-02-23 21:33:44,-21.21,-159.78,78.8,94,100,4.7,moderate rain,0.0,0.0
9,Saskylakh,RU,2020-02-23 21:33:44,71.92,114.08,5.74,91,100,8.63,overcast clouds,0.0,0.0
10,Anadyr,RU,2020-02-23 21:33:44,64.75,177.48,-20.0,75,0,2.24,clear sky,0.0,0.0
11,Vaitupu,RU,2020-02-23 21:33:44,64.75,177.48,-20.0,75,0,2.24,clear sky,0.0,0.0
12,Makat,KZ,2020-02-23 21:33:44,47.65,53.35,38.14,92,100,14.14,light rain,0.31,0.0
13,Nioro,GM,2020-02-23 21:33:45,13.35,-15.75,86.31,31,96,8.48,overcast clouds,0.0,0.0
14,Marawi,PH,2020-02-23 21:33:45,8.0,124.29,73.0,87,42,5.99,scattered clouds,0.0,0.0
15,Taolanaro,PH,2020-02-23 21:33:45,8.0,124.29,73.0,87,42,5.99,scattered clouds,0.0,0.0
16,Qaanaaq,GL,2020-02-23 21:33:45,77.48,-69.36,-19.41,68,0,7.14,clear sky,0.0,0.0
17,Bloomingdale,US,2020-02-23 21:25:19,27.89,-82.24,78.01,41,20,5.82,few clouds,0.0,0.0
18,Kodiak,US,2020-02-23 21:20:44,57.79,-152.41,24.8,35,1,18.34,clear sky,0.0,0.0
19,Jamestown,US,2020-02-23 21:19:25,42.1,-79.24,53.6,26,1,16.11,clear sky,0.0,0.0
20,Buckingham,GB,2020-02-23 21:25:31,52.0,-0.99,45.0,75,99,1.12,overcast clouds,0.0,0.0
21,Mataura,NZ,2020-02-23 21:25:31,-46.19,168.86,60.01,79,77,8.99,broken clouds,0.0,0.0
22,Tsihombe,NZ,2020-02-23 21:25:31,-46.19,168.86,60.01,79,77,8.99,broken clouds,0.0,0.0
23,Carnarvon,AU,2020-02-23 21:23:48,-24.87,113.63,69.8,88,0,4.7,clear sky,0.0,0.0
24,Albany,US,2020-02-23 21:21:41,42.6,-73.97,51.8,29,75,5.82,broken clouds,0.0,0.0
25,Abrau-Dyurso,RU,2020-02-23 21:25:32,44.69,37.59,44.6,65,40,22.37,scattered clouds,0.0,0.0
26,Ushuaia,AR,2020-02-23 21:32:00,-54.8,-68.3,46.4,87,90,20.8,overcast clouds,0.0,0.0
27,Mar Del Plata,AR,2020-02-23 21:25:32,-38.0,-57.56,77.0,50,20,11.41,few clouds,0.0,0.0
28,Atuona,PF,2020-02-23 21:33:48,-9.8,-139.03,81.61,76,8,13.73,clear sky,0.0,0.0
29,Port-Gentil,GA,2020-02-23 21:25:32,-0.72,8.78,82.4,88,20,5.82,few clouds,0.0,0.0
30,Yambio,SS,2020-02-23 21:25:33,4.57,28.4,79.09,42,24,3.15,few clouds,0.0,0.0
31,Bekobod,UZ,2020-02-23 21:25:33,40.22,69.27,48.2,81,90,2.24,mist,0.0,0.0
32,Tuatapere,NZ,2020-02-23 21:25:33,-46.13,167.68,60.01,79,72,8.99,broken clouds,0.0,0.0
33,Hermanus,ZA,2020-02-23 21:33:48,-34.42,19.23,66.99,76,0,8.99,clear sky,0.0,0.0
