,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sibolga,ID,70.74,clear sky,1.74,98.78,Hotel Syariah CN Darussalam
1,Punta Arenas,CL,55.4,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
2,Cidreira,BR,71.91,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
3,Port Hardy,CA,41.0,light rain,50.7,-127.42,Airport Inn
4,Port Alfred,ZA,60.01,scattered clouds,-33.59,26.89,The Halyards Hotel
6,Utica,US,48.0,clear sky,43.1,-75.23,Days Inn by Wyndham Utica
7,Sabzevar,IR,50.31,clear sky,36.21,57.68,پارکینگ وسایل سنگین جنوب
8,Avarua,CK,78.8,moderate rain,-21.21,-159.78,Paradise Inn
14,Marawi,PH,73.0,scattered clouds,8.0,124.29,Derogongan Residence
15,Taolanaro,PH,73.0,scattered clouds,8.0,124.29,Derogongan Residence
17,Bloomingdale,US,78.01,few clouds,27.89,-82.24,Travel Club for Free
19,Jamestown,US,53.6,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
20,Buckingham,GB,45.0,overcast clouds,52.0,-0.99,Best Western Buckingham Hotel
21,Mataura,NZ,60.01,broken clouds,-46.19,168.86,Ellie's Villa
22,Tsihombe,NZ,60.01,broken clouds,-46.19,168.86,Ellie's Villa
23,Carnarvon,AU,69.8,clear sky,-24.87,113.63,Hospitality Carnarvon
24,Albany,US,51.8,broken clouds,42.6,-73.97,
25,Abrau-Dyurso,RU,44.6,scattered clouds,44.69,37.59,Avgustin Inn
26,Ushuaia,AR,46.4,overcast clouds,-54.8,-68.3,Albatros Hotel
27,Mar Del Plata,AR,77.0,few clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
30,Yambio,SS,79.09,few clouds,4.57,28.4,Kabash Inn
31,Bekobod,UZ,48.2,mist,40.22,69.27,Metallurg
32,Tuatapere,NZ,60.01,broken clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
33,Hermanus,ZA,66.99,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
34,Shirvan,AZ,46.9,scattered clouds,39.95,48.9,Hotel Empire
40,Goderich,CA,43.0,few clouds,43.75,-81.72,Harmony Inn
41,Hobart,AU,57.99,broken clouds,-42.88,147.33,St Ives Apartments
43,Cockburn Town,TC,77.0,broken clouds,21.46,-71.14,Osprey Beach Hotel
48,Rikitea,PF,79.2,clear sky,-23.12,-134.97,Pension Maro'i
51,Illoqqortoormiut,PG,78.55,light rain,-10.62,150.67,Nuli Sapi
52,Hastings,GB,48.0,overcast clouds,50.86,0.57,Zanzibar Hotel
53,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,Casa Tia Villa
57,Seminole,US,77.0,scattered clouds,28.71,-81.21,WHITNEY-WOLCOTT HOUSE ON LAKE CHARM
58,Mizan Teferi,ET,68.0,scattered clouds,6.98,35.58,Hotel Salayish | ሆቴል ሳላይሽ
60,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
63,Ngukurr,PH,79.74,light rain,7.99,117.06,Sing and Swing Lodge
66,Salalah,OM,75.2,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
68,Taree,AU,68.0,light rain,-31.9,152.47,All Seasons Country Lodge Taree
71,Roma,US,48.0,clear sky,43.21,-75.46,Wingate By Wyndham Rome
72,Kruisfontein,ZA,56.48,clear sky,-34.0,24.73,Oyster Bay House Rental
73,New Norfolk,AU,59.0,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
74,Nara,JP,41.0,few clouds,34.69,135.8,Guesthouse Nara Komachi
