City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Maniitsoq,GL,2020-02-23 01:00:57,65.42,-52.9,9.97,60,100,7.54
1,Olafsvik,IS,2020-02-23 01:00:57,64.89,-23.71,29.37,84,98,5.82
2,Rize,TR,2020-02-23 01:00:58,40.9,40.89,32.81,99,100,2.51
3,Sao Filipe,CV,2020-02-23 01:00:58,14.9,-24.5,67.35,83,100,16.53
4,Rikitea,PF,2020-02-23 01:00:58,-23.12,-134.97,79.88,66,3,6.62
5,Chuy,UY,2020-02-23 01:00:58,-33.7,-53.46,60.1,86,15,7.0
6,Ereymentau,KZ,2020-02-23 01:00:58,51.62,73.1,13.75,97,97,3.02
7,Ilo,PE,2020-02-23 01:00:59,-17.64,-71.34,73.31,87,94,4.03
8,Victoria,HK,2020-02-23 01:00:37,22.29,114.16,71.01,56,20,17.22
9,Hermanus,ZA,2020-02-23 01:00:59,-34.42,19.23,66.0,85,44,4.0
10,Jamestown,US,2020-02-23 01:00:59,42.1,-79.24,39.2,43,1,5.82
11,Norman Wells,CA,2020-02-23 00:52:33,65.28,-126.83,6.8,77,75,1.32
12,Pevek,RU,2020-02-23 00:51:47,69.7,170.31,-11.13,96,100,11.27
13,Kodiak,US,2020-02-23 00:56:17,57.79,-152.41,19.4,73,90,11.41
14,Vaini,TO,2020-02-23 00:51:40,-21.2,-175.2,80.6,88,75,12.75
15,Tiksi,RU,2020-02-23 00:52:27,71.69,128.87,-11.63,95,92,5.41
16,Constitucion,CL,2020-02-23 01:01:01,-35.33,-72.42,53.29,94,6,3.2
17,Muros,ES,2020-02-23 01:01:01,42.78,-9.06,54.0,100,90,2.24
18,Ushuaia,AR,2020-02-23 00:51:39,-54.8,-68.3,55.4,87,75,36.91
19,Nanortalik,GL,2020-02-23 00:51:44,60.14,-45.24,27.66,84,100,26.69
20,Katsuura,JP,2020-02-23 00:52:33,35.13,140.3,57.2,54,20,21.92
21,Illela,NG,2020-02-23 01:01:03,13.73,5.3,76.8,11,17,17.27
22,Avarua,CK,2020-02-23 00:50:08,-21.21,-159.78,84.2,83,46,6.93
23,Poum,NC,2020-02-23 00:53:32,-20.23,164.02,80.62,79,8,18.75
24,Arraial Do Cabo,BR,2020-02-23 00:51:43,-22.97,-42.03,72.7,89,100,23.53
25,Filiatra,GR,2020-02-23 01:01:04,37.15,21.58,45.0,60,0,6.93
26,Mackay,AU,2020-02-23 00:52:14,-21.15,149.2,82.4,78,90,19.46
27,Carnarvon,AU,2020-02-23 00:52:37,-24.87,113.63,78.8,74,0,4.7
28,Ponta Do Sol,PT,2020-02-23 00:51:45,32.67,-17.1,70.0,77,20,19.46
29,Belmonte,BR,2020-02-23 00:51:56,-15.86,-38.88,80.6,83,20,5.82
30,Yumen,CN,2020-02-23 01:01:05,40.28,97.2,29.39,33,0,8.23
31,Gualaquiza,EC,2020-02-23 01:01:06,-3.4,-78.55,67.33,96,100,0.92
32,Thompson,CA,2020-02-23 00:52:14,55.74,-97.86,24.8,58,20,2.24
33,Punta Arenas,CL,2020-02-23 00:51:49,-53.15,-70.92,51.8,76,40,23.04
34,Northam,GB,2020-02-23 00:57:18,51.03,-4.22,53.01,90,100,13.0
35,San Rafael,AR,2020-02-23 00:53:23,-34.62,-68.33,69.44,37,0,12.3
36,Hobart,AU,2020-02-23 00:47:31,-42.88,147.33,75.99,42,20,8.05
37,Saskylakh,RU,2020-02-23 00:50:28,71.92,114.08,-2.67,97,89,5.77
38,Mazagao,BR,2020-02-23 01:00:10,-0.12,-51.29,82.4,100,40,5.82
39,Lasa,IT,2020-02-23 00:51:50,46.62,10.7,37.99,73,50,2.24
40,Sechura,PE,2020-02-23 01:01:07,-5.56,-80.82,74.64,86,50,12.39
41,Pyapon,MM,2020-02-23 01:01:07,16.28,95.68,66.76,60,0,2.21
42,Visby,SE,2020-02-23 00:57:13,57.64,18.3,39.99,67,0,25.28
43,Lebu,CL,2020-02-23 00:52:25,-37.62,-73.65,54.23,90,9,3.06
44,Roosevelt,US,2020-02-23 01:01:08,33.97,-103.45,61.0,44,75,6.93
45,Saint-Ambroise,CA,2020-02-23 01:01:08,48.55,-71.33,34.0,84,40,11.41
46,Albany,US,2020-02-23 00:51:18,42.6,-73.97,33.8,68,1,3.36
47,Huron,US,2020-02-23 01:01:09,41.15,-82.55,41.0,48,1,9.17
48,Maumere,ID,2020-02-23 01:01:09,-8.62,122.21,79.07,85,92,10.31
49,Roald,NO,2020-02-23 01:01:05,62.58,6.13,41.0,75,98,23.04
50,Qaanaaq,GL,2020-02-23 00:51:57,77.48,-69.36,-12.62,70,100,3.06
51,Beringovskiy,RU,2020-02-23 00:52:39,63.05,179.32,-7.01,90,20,4.32
52,Malpe,IN,2020-02-23 01:01:10,13.35,74.72,77.0,83,72,9.95
53,Ribeira Grande,PT,2020-02-23 00:52:43,38.52,-28.7,54.19,84,44,6.64
54,Coquimbo,CL,2020-02-23 00:52:02,-29.95,-71.34,60.8,82,0,9.17
55,Katangli,RU,2020-02-23 00:52:20,51.71,143.23,16.74,93,97,5.28
56,Izhma,RU,2020-02-23 01:01:11,65.01,53.91,32.27,84,98,16.98
57,Fare,PF,2020-02-23 00:52:19,-16.7,-151.02,83.17,70,22,8.01
58,Praia Da Vitoria,PT,2020-02-23 00:52:29,38.73,-27.07,55.4,82,40,4.85
59,Ilulissat,GL,2020-02-23 01:01:12,69.22,-51.1,1.4,45,96,4.7
60,Salalah,OM,2020-02-23 00:52:22,17.02,54.09,71.6,78,40,3.36
61,Morwa,IN,2020-02-23 01:01:12,22.9,73.83,61.03,52,0,10.29
62,Alofi,NU,2020-02-23 01:01:12,-19.06,-169.92,82.4,83,75,12.75
63,Sioux Lookout,CA,2020-02-23 00:51:02,50.1,-91.92,37.4,55,75,3.94
64,Port Alfred,ZA,2020-02-23 01:01:13,-33.59,26.89,64.99,81,100,3.0
65,Bluff,NZ,2020-02-23 01:01:13,-46.6,168.33,61.0,78,88,15.99
