City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hambantota,LK,2020-02-22 20:04:12,6.12,81.12,79.25,83,100,22.68
1,Kazanskaya,RU,2020-02-22 20:06:05,45.41,40.44,42.67,88,100,4.63
2,Punta Arenas,CL,2020-02-22 20:06:05,-53.15,-70.92,75.2,38,100,23.04
3,Ushuaia,AR,2020-02-22 20:04:49,-54.8,-68.3,69.8,46,40,4.7
4,Nanortalik,GL,2020-02-22 20:06:05,60.14,-45.24,27.57,89,100,17.9
5,Hobyo,SO,2020-02-22 20:05:24,5.35,48.53,76.69,77,75,14.9
6,Tuatapere,NZ,2020-02-22 20:04:20,-46.13,167.68,55.99,80,32,8.01
7,Umm Bab,QA,2020-02-22 20:04:27,25.21,50.81,69.01,82,1,4.32
8,Vaini,TO,2020-02-22 20:03:36,-21.2,-175.2,77.0,94,75,6.93
9,Tuktoyaktuk,CA,2020-02-22 20:03:47,69.45,-133.04,5.0,77,90,6.93
10,Tual,ID,2020-02-22 20:06:07,-5.67,132.75,82.33,78,94,15.39
11,Bluff,NZ,2020-02-22 20:04:16,-46.6,168.33,55.99,80,68,8.01
12,Wagar,SD,2020-02-22 20:06:08,16.15,36.2,67.75,49,68,13.04
13,Kapaa,US,2020-02-22 20:03:50,22.08,-159.32,75.2,78,90,10.29
